ReceivedMessage,ToSend,swapLetter,swapFrom,swapTo,skipLetter,charToSkip,dupLetter,charToDupe,capitaliseLetter,charToCapitalise,time,useless
im bored say something,Pancakes are better than waffles.,FALSE,,,FALSE,,FALSE,,TRUE,a,10,
ofc uhhhh I hate working overtime,The IT department should get a new coffee machine.,FALSE,,,FALSE,,FALSE,,TRUE,a,10,
too much paperwork,I already took care of the order for you last week.,FALSE,,,FALSE,,FALSE,,FALSE,,10,
nice,We should also install a pancake maker in the IT department.,FALSE,,,FALSE,,FALSE,,TRUE,a,10,
!!! i knew there was a reason why you got the promotion,I know a few places that sell really good pancakes in town.,FALSE,,,FALSE,,FALSE,,TRUE,a,10,
details pls,I compiled it into a list and sent it to you just now.,FALSE,,,FALSE,,FALSE,,TRUE,,10,
greacrapqueenieshere,........................,FALSE,,,FALSE,,FALSE,,FALSE,,10,
coast clear which pancake place is top,According to reviews| Peter Pancakes is the best in town.,FALSE,,,FALSE,,TRUE,s,TRUE,a,10,
good also do you remember what im supposed to do now,Fix the coffee machine since you last connected it to the server.,FALSE,,,FALSE,,TRUE,s,TRUE,a,10,
k thx for reminder what else do i need to do,I cleaned up the scripts for you already.,FALSE,,,FALSE,,TRUE,s,TRUE,a,10,
nice btw do you want my job,-,FALSE,,,FALSE,,FALSE,,FALSE,,10,
