ReceivedMessage,ToSend,swapLetter,swapFrom,swapTo,skipLetter,charToSkip,dupLetter,charToDupe,capitaliseLetter,charToCapitalise,time,useless
I just sent you the report. Do tell me if it makes sense.,You're trying to propose a new knowledge management strategy?,TRUE,o,a,TRUE,s,FALSE,,FALSE,,10,
Yes. I presented it in the last meeting but no one got it.,The chemical composition of knowledge management?,FALSE,o,a,FALSE,,TRUE,c,FALSE,,10,
Right| creating strategies by reverse engineering its components.,It sounds like an innovative method.,FALSE,o,a,FALSE,,TRUE,n,FALSE,,10,
It's not any better than the method I proposed a month ago.,The one where you used the Black-Scholes-Merton model?,FALSE,o,a,TRUE,s,TRUE,m,FALSE,,10,
I consider that to be my best work so far.,Personally I prefer the human resource management strategy.,FALSE,o,a,TRUE,s,TRUE,n,FALSE,,10,
I'm surprised you remember that. Remind me about what I did?,Using Grover's algorithm to predict how many resumes HR gets in the summer.,TRUE,o,a,FALSE,,TRUE,m,FALSE,,10,
Unfortunately that one is inconclusive.,How about applying the multi-pattern design variation?,TRUE,a,o,FALSE,,TRUE,p,FALSE,,10,
That might be a bit too much for this company to handle.,....................................,FALSE,,,FALSE,,FALSE,,FALSE,,10,
But I appreciate you bringing the topic up.,They are things that catch my interest.,TRUE,o,a,TRUE,t,TRUE,h,FALSE,,10,
It isn't everyday that you find someone who's interested in those theories.,I read a lot in my spare time.,TRUE,o,a,TRUE,t,TRUE,r,FALSE,,10,
Let me send you a few good papers. You can read them for fun.,-,FALSE,,,FALSE,,FALSE,,FALSE,,10,
